PepID,DRAMP_ID,Peptide Name,queried Peptide Name,PMID
6,DRAMP00068,Aureocin A53 (Bacteriocin),Aureocin_A53,31151072
6,DRAMP00068,Aureocin A53 (Bacteriocin),Aureocin_A53,22155816
21,DRAMP00177,Enterocin B (EntB; Bacteriocin),Enterocin_B,29729340
22,DRAMP00178,Enterocin EJ97 (EntEJ97; Bacteriocin),Enterocin_EJ97,34230527
33,DRAMP00275,Snakin-1 (StSN1; Cys-rich; Plant defensin),Snakin-1,25670697
43,DRAMP00425,Tn-AFP1 (Trapa natans antifungal peptide; Plant defensin),Tn-AFP1,21736910
55,DRAMP00856,Kalata-B1 (Plant defensin),Kalata-B1,29522493
61,DRAMP00933,Antimicrobial peptide 1 (AMP1; MiAMP1; Plant defensin),Antimicrobial_peptide_1,22445495
64,DRAMP01016,Antimicrobial peptide 1 (MJ-AMP1; Plant defensin),Antimicrobial_peptide_1,22445495
67,DRAMP01061,Antifungal peptide (Cm-p1; Plants),Antifungal_peptide,34442858
67,DRAMP01061,Antifungal peptide (Cm-p1; Plants),Antifungal_peptide,34408988
67,DRAMP01061,Antifungal peptide (Cm-p1; Plants),Antifungal_peptide,33172206
67,DRAMP01061,Antifungal peptide (Cm-p1; Plants),Antifungal_peptide,32605024
67,DRAMP01061,Antifungal peptide (Cm-p1; Plants),Antifungal_peptide,30038607
67,DRAMP01061,Antifungal peptide (Cm-p1; Plants),Antifungal_peptide,23892742
67,DRAMP01061,Antifungal peptide (Cm-p1; Plants),Antifungal_peptide,23193597
67,DRAMP01061,Antifungal peptide (Cm-p1; Plants),Antifungal_peptide,21736910
67,DRAMP01061,Antifungal peptide (Cm-p1; Plants),Antifungal_peptide,15992921
94,DRAMP01152,"Uperin-3.6 (toads, amphibians, animals)",Uperin-3.6,25965506
99,DRAMP01163,"Buforin-2 (Buforin II; Fragment of Histone H2A; toads, amphibians, animals)",Buforin-2,29959905
107,DRAMP01184,"SPX(1-22)(truncated peptide of Syphaxin; Frogs, amphibians, animals)",SPX,32043713
107,DRAMP01184,"SPX(1-22)(truncated peptide of Syphaxin; Frogs, amphibians, animals)",SPX,32033530
107,DRAMP01184,"SPX(1-22)(truncated peptide of Syphaxin; Frogs, amphibians, animals)",SPX,31618469
107,DRAMP01184,"SPX(1-22)(truncated peptide of Syphaxin; Frogs, amphibians, animals)",SPX,30924407
107,DRAMP01184,"SPX(1-22)(truncated peptide of Syphaxin; Frogs, amphibians, animals)",SPX,30718304
107,DRAMP01184,"SPX(1-22)(truncated peptide of Syphaxin; Frogs, amphibians, animals)",SPX,29049010
107,DRAMP01184,"SPX(1-22)(truncated peptide of Syphaxin; Frogs, amphibians, animals)",SPX,27501984
107,DRAMP01184,"SPX(1-22)(truncated peptide of Syphaxin; Frogs, amphibians, animals)",SPX,27037617
107,DRAMP01184,"SPX(1-22)(truncated peptide of Syphaxin; Frogs, amphibians, animals)",SPX,25905865
107,DRAMP01184,"SPX(1-22)(truncated peptide of Syphaxin; Frogs, amphibians, animals)",SPX,22194450
107,DRAMP01184,"SPX(1-22)(truncated peptide of Syphaxin; Frogs, amphibians, animals)",SPX,21485312
107,DRAMP01184,"SPX(1-22)(truncated peptide of Syphaxin; Frogs, amphibians, animals)",SPX,20402773
107,DRAMP01184,"SPX(1-22)(truncated peptide of Syphaxin; Frogs, amphibians, animals)",SPX,19181818
107,DRAMP01184,"SPX(1-22)(truncated peptide of Syphaxin; Frogs, amphibians, animals)",SPX,16788195
108,DRAMP01185,"SPX(1-16)(truncated peptide of Syphaxin; Frogs, amphibians, animals)",SPX,32043713
108,DRAMP01185,"SPX(1-16)(truncated peptide of Syphaxin; Frogs, amphibians, animals)",SPX,32033530
108,DRAMP01185,"SPX(1-16)(truncated peptide of Syphaxin; Frogs, amphibians, animals)",SPX,31618469
108,DRAMP01185,"SPX(1-16)(truncated peptide of Syphaxin; Frogs, amphibians, animals)",SPX,30924407
108,DRAMP01185,"SPX(1-16)(truncated peptide of Syphaxin; Frogs, amphibians, animals)",SPX,30718304
108,DRAMP01185,"SPX(1-16)(truncated peptide of Syphaxin; Frogs, amphibians, animals)",SPX,29049010
108,DRAMP01185,"SPX(1-16)(truncated peptide of Syphaxin; Frogs, amphibians, animals)",SPX,27501984
108,DRAMP01185,"SPX(1-16)(truncated peptide of Syphaxin; Frogs, amphibians, animals)",SPX,27037617
